pagSeccion;titulo;href
https://www.pagina12.com.ar/secciones/el-mundo?page=402;El humillante gesto de los médicos belgas a la primera ministra;https://www.pagina12.com.ar/266617-el-humillante-gesto-de-los-medicos-belgas-a-la-primera-minis
https://www.pagina12.com.ar/secciones/el-mundo?page=402;Un diputado de derecha uruguayo que no comprende textos y quedó en ridículo;https://www.pagina12.com.ar/266644-un-diputado-de-derecha-uruguayo-que-no-comprende-textos-y-qu
https://www.pagina12.com.ar/secciones/el-mundo?page=403;Adolescentes se rebelan en Japón contra el límite al uso de celulares y videojuegos;https://www.pagina12.com.ar/266640-adolescentes-se-rebelan-en-japon-contra-el-limite-al-uso-de-
https://www.pagina12.com.ar/secciones/el-mundo?page=403;Japón cierra el monte Fuji;https://www.pagina12.com.ar/266606-japon-cierra-el-monte-fuji
https://www.pagina12.com.ar/secciones/el-mundo?page=403;Primer domingo de sol y libertad en París;https://www.pagina12.com.ar/266479-primer-domingo-de-sol-y-libertad-en-paris
https://www.pagina12.com.ar/secciones/el-mundo?page=403;Civiles armados apoyan a Bolsonaro en Brasilia;https://www.pagina12.com.ar/266486-civiles-armados-apoyan-a-bolsonaro-en-brasilia
https://www.pagina12.com.ar/secciones/el-mundo?page=403;Bolsonaro asistió a una manifestación pese al drama que vive Brasil;https://www.pagina12.com.ar/266499-bolsonaro-asistio-a-una-manifestacion-pese-al-drama-que-vive
https://www.pagina12.com.ar/secciones/el-mundo?page=403;El discurso genocida de Bolsonaro;https://www.pagina12.com.ar/266518-el-discurso-genocida-de-bolsonaro
https://www.pagina12.com.ar/secciones/el-mundo?page=403;Roma acelera la salida de la cuarentena con la reapertura de bares y restaurantes;https://www.pagina12.com.ar/266522-roma-acelera-la-salida-de-la-cuarentena-con-la-reapertura-de
https://www.pagina12.com.ar/secciones/el-mundo?page=403;El gobernador de Nueva York se sometió a un test de coronavirus en vivo por TV;https://www.pagina12.com.ar/266532-el-gobernador-de-nueva-york-se-sometio-a-un-test-de-coronavi
https://www.pagina12.com.ar/secciones/el-mundo?page=403;Acusado de corrupción, Netanyahu asumió su quinto mandato en Israel;https://www.pagina12.com.ar/266551-acusado-de-corrupcion-netanyahu-asumio-su-quinto-mandato-en-
https://www.pagina12.com.ar/secciones/el-mundo?page=403;Pepe Mujica, sin optimismo para el día después de la pandemia;https://www.pagina12.com.ar/266481-pepe-mujica-sin-optimismo-para-el-dia-despues-de-la-pandemia
https://www.pagina12.com.ar/secciones/el-mundo?page=403;"Byung-Chul Han y el coronavirus: ""La muerte no es democrática""";https://www.pagina12.com.ar/266458-byung-chul-han-y-el-coronavirus-la-muerte-no-es-democratica
https://www.pagina12.com.ar/secciones/el-mundo?page=404;La pandemia avanza sin freno en Rusia;https://www.pagina12.com.ar/266440-la-pandemia-avanza-sin-freno-en-rusia
https://www.pagina12.com.ar/secciones/el-mundo?page=404;"Pedro Sánchez pidió extender un mes más el ""estado de alarma"" en España";https://www.pagina12.com.ar/266371-pedro-sanchez-pidio-extender-un-mes-mas-el-estado-de-alarma-
https://www.pagina12.com.ar/secciones/el-mundo?page=404;El desempleo en EEUU como un mapa de la pobreza;https://www.pagina12.com.ar/266289-el-desempleo-en-eeuu-como-un-mapa-de-la-pobreza
https://www.pagina12.com.ar/secciones/el-mundo?page=404;"García Linera elogió a Alberto Fernández: ""Se convertirá en uno de los más grandes líderes de la región""";https://www.pagina12.com.ar/266313-garcia-linera-elogio-a-alberto-fernandez-se-convertira-en-un
https://www.pagina12.com.ar/secciones/el-mundo?page=404;Coronavirus en Perú: el modelo entró en terapia intensiva ;https://www.pagina12.com.ar/266336-coronavirus-en-peru-el-modelo-entro-en-terapia-intensiva
https://www.pagina12.com.ar/secciones/el-mundo?page=404;Murió Julio Anguita: se apaga el faro de la izquierda española;https://www.pagina12.com.ar/266337-murio-julio-anguita-se-apaga-el-faro-de-la-izquierda-espanol
https://www.pagina12.com.ar/secciones/el-mundo?page=404;Factores determinantes para contraer el coronavirus;https://www.pagina12.com.ar/266343-factores-determinantes-para-contraer-el-coronavirus
https://www.pagina12.com.ar/secciones/el-mundo?page=404;bajada 27;https://www.pagina12.com.ar/266375-bajada-27
https://www.pagina12.com.ar/secciones/el-mundo?page=404;Con un militar a cargo del Ministerio de Salud, Brasil ya es el cuarto país con más casos de coronavirus;https://www.pagina12.com.ar/266357-con-un-militar-a-cargo-del-ministerio-de-salud-brasil-ya-es-
https://www.pagina12.com.ar/secciones/el-mundo?page=404;Más de 90 mil cerdos están siendo sacrificados por la crisis del coronavirus;https://www.pagina12.com.ar/266317-mas-de-90-mil-cerdos-estan-siendo-sacrificados-por-la-crisis
https://www.pagina12.com.ar/secciones/el-mundo?page=404;Italia reabre sus fronteras en junio ;https://www.pagina12.com.ar/266306-italia-reabre-sus-fronteras-en-junio
https://www.pagina12.com.ar/secciones/el-mundo?page=405;El Reino Unido entrenará perros para detectar el coronavirus;https://www.pagina12.com.ar/266280-el-reino-unido-entrenara-perros-para-detectar-el-coronavirus
https://www.pagina12.com.ar/secciones/el-mundo?page=405;Renunció el flamante ministro de Salud de Bolsonaro ;https://www.pagina12.com.ar/266096-renuncio-el-flamante-ministro-de-salud-de-bolsonaro
https://www.pagina12.com.ar/secciones/el-mundo?page=405;El estado de Nueva York permite nuevas reaperturas de actividades;https://www.pagina12.com.ar/266157-el-estado-de-nueva-york-permite-nuevas-reaperturas-de-activi
https://www.pagina12.com.ar/secciones/el-mundo?page=405;Amplían la capacidad del cementerio más grande de Chile;https://www.pagina12.com.ar/266161-amplian-la-capacidad-del-cementerio-mas-grande-de-chile
https://www.pagina12.com.ar/secciones/el-mundo?page=405;Macron reconoció que su plan de salud no funciona;https://www.pagina12.com.ar/266167-macron-reconocio-que-su-plan-de-salud-no-funciona
https://www.pagina12.com.ar/secciones/el-mundo?page=405;El papa Francisco habló sobre coronavirus, migrantes y refugiados;https://www.pagina12.com.ar/266171-el-papa-francisco-hablo-sobre-coronavirus-migrantes-y-refugi
https://www.pagina12.com.ar/secciones/el-mundo?page=405;"Lula: ""Bolsonaro no confía en civiles""";https://www.pagina12.com.ar/266178-lula-bolsonaro-no-confia-en-civiles
https://www.pagina12.com.ar/secciones/el-mundo?page=405;Brasil: la mayor calamidad se llama Bolsonaro;https://www.pagina12.com.ar/266195-brasil-la-mayor-calamidad-se-llama-bolsonaro
https://www.pagina12.com.ar/secciones/el-mundo?page=405;El video viral que ridiculiza las medidas de Jair Bolsonaro ante el coronavirus;https://www.pagina12.com.ar/266102-el-video-viral-que-ridiculiza-las-medidas-de-jair-bolsonaro-
